dzielnica,cena,cena_m2,powierzchnia,rok_budowy,wlasnosc,zabudowa,stan,pietro,pietro_max,czynsz,pokoje,material,winda,rynek,ogloszeniodawca,balkon,ogrod,taras,wspolrzedne_szerokosc,wspolrzedne_wysokosc,link,odleglosc_metro,odleglosc_centrum
Śródmieście,5650318.0,42692.0,132.35,,,building_type::tenement,,4.0,5.0,,3.0,building_material-69::brick,1,market::secondary,advertiser_type::agency,1,0,0,52.23382,21.02139,https://www.otodom.pl/pl/oferta/apartament-foksal-warszawa-centrum-3-pok-garaz-ID4hp6X,0.44648778295536873,1.070463668749969
Białołęka,527782.0,8950.0,58.97,2023.0,,building_type::apartment,construction_status::to_completion,0.0,2.0,,3.0,building_material::other,1,market::primary,advertiser_type::agency,0,1,1,52.3212239,21.0774882,https://www.otodom.pl/pl/oferta/dwustronne-3-pok-z-ogrodkiem-na-jesien-2023-ID4l3JO,3.747409330585616,11.075764138049282
Śródmieście,819000.0,19491.0,42.02,1930.0,building_ownership::full_ownership,building_type::tenement,construction_status-67::ready_to_use,1.0,7.0,550,2.0,building_material-69::brick,1,market::secondary,advertiser_type::agency,0,0,0,52.23534,21.03435,https://www.otodom.pl/pl/oferta/piekna-kamienica-metro-winda-jasne-wysokie-ID4kW6H,0.556569170020631,1.9688403828769958
Wilanów,910000.0,12133.0,75.0,,building_ownership::full_ownership,,construction_status::to_completion,,,,3.0,,1,market::primary,advertiser_type::agency,1,0,0,52.15613,21.11163,https://www.otodom.pl/pl/oferta/gotowe-3-pok-blisko-miasteczka-wilanow-ID4kv5h,4.220265308821301,11.065149381683561
Mokotów,1420000.0,22188.0,64.0,2018.0,,building_type::apartment,construction_status-67::ready_to_use,0.0,2.0,,2.0,,1,market::secondary,advertiser_type::agency,1,1,1,52.18833,21.03911,https://www.otodom.pl/pl/oferta/dwupokojowy-apartament-z-ogrodkiem-na-sprzedaz-ID4d6Io,2.2313004565448233,5.324705268540132
Mokotów,529000.0,15114.0,35.0,1950.0,building_ownership::full_ownership,building_type-15::block,construction_status-67::ready_to_use,3.0,4.0,,1.0,building_material-69::brick,0,market::secondary,advertiser_type::agency,1,0,0,52.1959902,21.013328,https://www.otodom.pl/pl/oferta/kawalerka-pod-inwestycje-dookola-parki-ID4kV8d,0.8083638327702672,4.003801887407864
Białołęka,558178.0,8939.0,62.44,2023.0,building_ownership::full_ownership,building_type-15::block,construction_status::to_completion,1.0,2.0,,3.0,building_material::silikat,1,market::primary,advertiser_type::developer,1,0,0,52.336575,21.029306,https://www.otodom.pl/pl/oferta/bezposrednio-3-pokoje-z-duzym-balkonem-ID4ljLx,4.77739242496753,11.766190408999119
Bielany,545000.0,9909.0,55.0,1975.0,building_ownership::co_operative_ownership,building_type-15::block,,0.0,10.0,600,3.0,building_material::reinforced_concrete,1,market::secondary,advertiser_type::agency,0,0,0,52.273197,20.9519018,https://www.otodom.pl/pl/oferta/metro-slodowiec-3-pokoje-z-widokiem-na-park-ID4l9K2,0.8976721613332107,5.904000989900325
Ursynów,510264.0,18031.0,28.3,2024.0,building_ownership::full_ownership,,construction_status::to_completion,1.0,11.0,,1.0,,0,market::primary,advertiser_type::agency,1,0,0,52.15474,21.04342,https://www.otodom.pl/pl/oferta/0-prowizji-ursynow-metro-nowa-kawalerka-28m2-ID4kmXD,0.5333836257937822,8.930764091326083
Praga-Południe,740000.0,14815.0,49.95,2018.0,building_ownership::full_ownership,building_type::apartment,construction_status-67::ready_to_use,,,650,2.0,,1,market::secondary,advertiser_type::private,1,0,0,52.24168,21.08406,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-ID4du2a,2.894297695491211,5.426385975221123
